,,2012-13 (REVISED),,,,CLASSROOM TEACHERS 2012?13,,,,,OTHER NON-SUPERVISORY,,TOTAL,2012-13 AVERAGE SALARY FOR CLASSROOM TEACHERS,,,ALL TEACHERS % CHANGE VERSUS,TOTAL CURRENT EXPENDITURES FOR PUBLIC,,,CURRENT,CAPITAL,INTEREST ON,,,
,,FALL ENROLLMENT,,,ELEMENTARY SCHOOL,,,SECONDARY SCHOOL,,TOTAL,INSTRUC-,PRINCIPALS &,INSTRUC-,INSTR.,ELEM.,SEC.,2011-12,ELEMENTARY AND SECONDARY DAY SCHOOLS,PER STUDENT ,PER STUDENT ,EXPENDITURES,OUTLAY,SCHOOL DEBT,,,
REGION AND STATE,ELEMENTARY,SECONDARY,TOTAL,MEN,WOMEN,TOTAL,MEN,WOMEN,TOTAL,TEACHERS,TIONAL,SUPERVISORS,TIONAL STAFF,STAFF,,, (CURRENT $),AMOUNT ('000s),IN ADA,IN ENR,OTHER PROGRAMS,('000s),('000s),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
